friendlyName , address ,analysisURL
"Ontrak, Inc. (OTRK) 10-Q for Q3, 2022","2200 PASEO VERDE PARKWAY,HENDERSON,NV,89052","https://alpha.auditchain.finance/analysis/Qmbjq3VnhzPjB11AdgFqSrt4qtJv5nA3rhGTjka1NgM96w"
"DIGITAL LOCATIONS, INC. () 10-Q for Q3, 2022","3700 STATE STREET,SANTA BARBARA,CA,93105","https://alpha.auditchain.finance/analysis/QmZUAun6QnkEXSBvT9VSRogNVVZtrLcwjbYdg9zQ6EJFjP"
"CareTrust REIT, Inc. (CTRE) 10-Q for Q3, 2022","905 CALLE AMANECER, SUITE 300,SAN CLEMENTE,CA,92673","https://alpha.auditchain.finance/analysis/QmY44nUn9SW5vkLZw8uYPjAPKFKNSsX9KT9XrZjyHqmAQt"
"SILA REALTY TRUST, INC. () 10-Q for Q3, 2022","1001 WATER STREET,TAMPA,FL,33602","https://alpha.auditchain.finance/analysis/QmVVijUEQhFzyxK5aWandMG8X2Ssu8jAuQBnMGc5PpxJxX"
"Paramount Global (PARAA) 10-Q for Q3, 2022","1515 BROADWAY,NEW YORK,NY,10036","https://alpha.auditchain.finance/analysis/QmcHFQ44pxzcU2WRgpSfzt7HfdXXXt9K7pMUkoyqoT6yWC"
"BELDEN INC. (BDC) 10-Q for Q3, 2022","1 NORTH BRENTWOOD BLVD,ST. LOUIS,MO,63105","https://alpha.auditchain.finance/analysis/QmSptNKJ1LQdArzQh3xg6s9TFjUHWMe9VKUBy4eVkCtZFr"
"1st Source Corp (SRCE) 10-Q for Q3, 2022","100 NORTH MICHIGAN STREET,SOUTH BEND,IN,46601","https://alpha.auditchain.finance/analysis/QmZJfrHjz4TdVVnMQvFfBit1j8wA4VJpqKj7Fyjrudko44"
"CEN BIOTECH INC () 10-Q for Q3, 2022","300-3295 QUALITY WAY,WINDSOR,A6,N8T 3R9","https://alpha.auditchain.finance/analysis/QmcUNB24oe3FU27gayWf2MAmEhtzaqYwJB9AZ7exYWkVi3"
"CenterPoint Energy, Inc. (CNP) 10-Q for Q3, 2022","1111 LOUISIANA ST.,HOUSTON,TX,77002","https://alpha.auditchain.finance/analysis/QmfExKouD1YKJwogDVBFKZP2VdYtaRwGxwH4Hk3pDnoWcS"
"CenterPoint Energy, Inc. (CNP) 10-Q for Q3, 2022","1111 LOUISIANA ST.,HOUSTON,TX,77002","https://alpha.auditchain.finance/analysis/QmfJVs1Ma8xDXUDFPuQMMHbrERjXZgjffji9ywWheWmdZm"
"COMMUNITY BANCORP /VT () 10-Q for Q3, 2022","4811 US ROUTE 5,DERBY,VT,05829","https://alpha.auditchain.finance/analysis/QmWLDQPE3Ssw68UKiC2xbJtSDaNwma4tAmFTW5vtNSmL3b"
